,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,mois,month
9,car,because
10,mettre,to put
11,laisse,leash
12,ville,city
13,chaque,each
14,parlé,speak
15,arrivé,come
16,devrait,should
17,bébé,baby
18,longtemps,long time
19,heures,hours
20,vont,will
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,parle,speak
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,affaire,case
33,donner,give
34,type,type
35,leurs,their
36,donné,given
37,train,train
38,corps,body
39,endroit,place
40,yeux,eyes
41,écoute,listen
42,dont,whose
43,trouve,find
44,premier,first
45,perdu,lost
46,main,hand
47,première,first
48,côté,side
49,pouvoir,power
50,vieux,old
51,sois,be
52,tiens,here
53,matin,morning
54,tellement,so much
55,enfant,child
56,point,point
57,venu,came
58,pardon,sorry
59,venez,come
60,devant,in front of
61,vers,towards
62,minutes,minutes
63,demandé,request
64,chambre,bedroom
65,belle,beautiful
66,aimerais,would like to
67,aujourd'hui,today
68,cause,cause
69,espère,hope
70,eau,water
71,attendez,Wait
72,parti,left
73,nouvelle,new
74,boulot,job
75,arrêter,Stop
76,dirait,would say
77,terre,Earth
78,compte,account
79,donne,given
80,loin,far
81,fin,end
82,croire,believe
83,gros,large
84,plutôt,rather
85,aura,will have
86,bureau,office
